Name	Metallicity(12+Log O/H)	 erroor		q_pah	error
DDO053	8 0.11 -1 -1
DDO154	7.67 0.09 -1 -1
DDO165	8.04 0.08 -1 -1
Hol1	8.04 0.11 -1 -1
Hol2	8.13 0.14 0.68 0.34
IC342	8.85 0.20 4.25 0.26
IC2574	8.19 0.14 0.48 0.27
M81dwB	8.19 0.13 -1 -1
NGC0337	8.47 0.07 2.4 0.6
NGC0584	8.69 0.20 -1 -1	
NGC0628	8.64 0.01 3.6 0.7
NGC0855	8.43 0.10 -1 -1
NGC0925	8.59 0.01 2.65 0.47
NGC1097	8.75 0.02 3.2 0.9
NGC1266	8.52 0.20 0.61 0.44
NGC1291	8.78 0.20 2.4 1.2
NGC1316	9.00 0.20 1.9 1.3
NGC1377	8.52 0.20 0.73 0.8
NGC1404	8.78 0.20 -1 -1
NGC1482	8.74 0.13 3.3 0.5
NGC1512	8.72 0.12 3.3 0.5
NGC2146	8.68 0.10 4.2 0.7
NGC2798	8.72 0.08 2.19 0.28
NGC2841	9.00 0.03 3.4 0.48
NGC2915	8.17 0.13 1.4 0.7
NGC2976	8.61 0.06 3.2 1.0
NGC3049	8.72 0.01 2.1 0.6
NGC3184	8.81 0.01 3.8 0.8
NGC3190	8.75 0.20 2.8 0.5
NGC3198	8.76 0.02 3.1 0.8
NGC3265	8.69 0.14 4.6 2.4		
NGC3351	8.77 0.01 2.3 0.6
NGC3521	8.81 0.02 2.8 0.6
NGC3621	8.75 0.02 2.5 0.7
NGC3627	8.62 0.24 3.23 0.32
NGC3773	8.58 0.03 1.9 0.43
NGC3938	8.68 0.20 3.7 0.7
NGC4236	8.37 0.20 0.86 0.39
NGC4254	8.79 0.01 4.1 0.8
NGC4321	8.76 0.03 3.7 1.2
NGC4536	8.63 0.08 3.4 0.5
NGC4559	8.58 0.01 2.7 0.8
NGC4569	8.80 0.20 3.4 0.9
NGC4579	8.79 0.20 2.9 0.9
NGC4594	8.79 0.20 2.6 0.7
NGC4625	8.67 0.13 4.2 0.9
NGC4736	8.68 0.03 3.7 0.5
NGC4826	8.78 0.10 2.57 0.16
NGC5055	9.00 0.03 3.89 0.23
NGC5398	8.33 0.05 1.8 0.7
NGC5408	8.19 0.09 0.14 0.64		
NGC5457	8.38 0.10  3.0 0.9
NGC5474	8.46 0.22 2.1 0.05
NGC5713	8.70 0.06 2.74 0.27
NGC5866	8.73 0.20 1.6 0.8
NGC6946	8.75 0.03 3.5 0.7
NGC7331	8.80 0.02 3.95 0.36
NGC7793	8.64 0.02 3.2 0.6
